Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude,City
2500,900,84,1,2,1,1,0,0,1,0,Bela Vista,rent,apartment,-23.562477,-46.649393,São Paulo
7000,2800,250,3,2,1,2,0,0,0,0,Bela Vista,rent,apartment,-23.5610323,-46.6608917,São Paulo
4500,0,230,3,2,1,2,0,0,0,0,Bela Vista,rent,apartment,-23.5609116,-46.64788,São Paulo
4000,1123,160,3,4,3,3,0,0,1,0,Cambuci,rent,apartment,-23.5702465,-46.6221851,São Paulo
16000,4000,280,4,4,3,5,0,0,1,0,Alto de Pinheiros,rent,apartment,0.0,0.0,São Paulo
3700,1700,128,3,5,3,2,0,0,1,0,Santo Amaro,rent,apartment,-23.644463,-46.696749,São Paulo
1000,609,55,3,2,1,1,0,0,1,0,São Lucas,rent,apartment,-23.588643,-46.542257,São Paulo
2900,700,120,4,1,0,1,0,1,0,0,Butantã,rent,apartment,-23.5684887,-46.7117439,São Paulo
1700,425,40,1,2,1,1,1,0,1,0,Santa Cecília,rent,apartment,-23.537793,-46.6342399,São Paulo
2600,0,76,2,2,1,1,1,0,1,0,Vila Prudente,rent,apartment,-23.594576,-46.578946,São Paulo
1860,650,78,3,2,1,2,1,0,1,0,Pirituba,rent,apartment,-23.496752,-46.728006,São Paulo
1900,640,75,2,2,1,1,0,0,0,0,Mooca,rent,apartment,-23.558283,-46.593358,São Paulo
4000,1502,111,3,2,1,2,0,0,1,0,Pinheiros,rent,apartment,-23.558155,-46.679147,São Paulo
1400,0,65,2,1,0,0,0,0,0,0,Vila Guilherme,rent,apartment,0.0,0.0,São Paulo
1300,520,69,1,1,0,0,0,0,0,0,Bela Vista,rent,apartment,-23.5579777,-46.6524305,São Paulo
2400,600,35,1,2,1,1,0,1,1,0,Campo Belo,rent,apartment,-23.6242313,-46.6671828,São Paulo
1360,812,70,3,2,1,1,0,0,1,0,Campo Grande,rent,apartment,-23.667048,-46.680107,São Paulo
1200,437,52,2,2,1,1,1,0,0,0,Vila Matilde,rent,apartment,-23.52647,-46.533089,São Paulo
1250,0,50,1,2,1,1,1,0,1,0,Vila Jacuí,rent,apartment,-23.509585,-46.446743,São Paulo
1700,400,55,2,2,1,1,0,0,1,0,Limão,rent,apartment,-23.503889,-46.676475,São Paulo
3200,0,52,2,1,0,0,0,1,0,0,Bela Vista,rent,apartment,-23.5583194,-46.6539359,São Paulo
2500,720,68,3,2,1,1,0,0,1,0,Belém,rent,apartment,-23.5381638,-46.5915058,São Paulo
2450,888,90,3,1,0,2,0,0,1,0,Jabaquara,rent,apartment,-23.6408167,-46.6394132,São Paulo
2910,440,36,1,1,0,1,0,1,1,0,Vila Mariana,rent,apartment,-23.5897633,-46.6254572,São Paulo
3900,983,139,3,2,1,1,0,0,0,0,Pinheiros,rent,apartment,0.0,0.0,São Paulo
1500,300,35,1,2,1,1,1,0,0,0,Cambuci,rent,apartment,-23.564782,-46.616622,São Paulo
3500,900,72,2,1,0,1,0,0,1,0,Moema,rent,apartment,-23.6094151,-46.661057,São Paulo
1250,330,50,2,1,0,1,0,0,0,0,Cidade Líder,rent,apartment,-23.5622085,-46.4793798,São Paulo
3600,885,72,2,2,1,2,1,0,1,0,Vila Madalena,rent,apartment,-23.546467,-46.691787,São Paulo
1180,0,40,1,2,1,1,0,0,0,0,Cambuci,rent,apartment,-23.558725,-46.629678,São Paulo
750,250,50,2,1,0,1,0,0,0,0,Vila Jacuí,rent,apartment,0.0,0.0,São Paulo
